numPos,numNeg,numStages,maxFalseAlarmRate,minHitRate,maxDepth,maxWeakCount,Precision,Total_Detections,Valid_Plates
710,206,12,0.1,0.88,12,207,0.0667,15,1
723,206,12,0.13,0.9,12,207,0.2857,21,6
734,206,12,0.1,0.9,12,207,0.0575,87,5
714,206,12,0.11,0.86,12,207,0.125,80,10
798,206,12,0.12,0.88,12,207,0.0291,447,13
642,206,12,0.17,0.88,12,207,0.0,13,0
733,206,12,0.15,0.91,12,207,0.08960000000000001,67,6
677,206,12,0.14,0.94,12,207,0.0129,1400,18
681,206,12,0.1,0.92,12,207,0.0319,94,3
735,206,12,0.12,0.88,12,207,0.028300000000000002,247,7
651,206,12,0.09,0.92,12,207,0.1765,17,3
624,206,12,0.1,0.89,12,207,0.3333,3,1
697,206,12,0.1,0.91,12,207,0.060599999999999994,99,6
767,206,12,0.12,0.92,12,207,0.0282,531,15
747,206,12,0.16,0.91,12,207,0.0183,438,8
654,206,12,0.13,0.95,12,207,0.0,2,0
621,206,12,0.16,0.86,12,207,0.0,2,0
629,206,12,0.15,0.95,12,207,0.0,8,0
796,206,12,0.1,0.91,12,207,0.0203,197,4
695,206,12,0.17,0.9,12,207,0.1333,15,2
609,206,12,0.1,0.91,12,207,0.2,5,1
615,206,12,0.16,0.91,12,207,0.2727,11,3
699,206,12,0.18,0.87,12,207,0.2143,14,3
793,206,12,0.16,0.93,12,207,0.0066,607,4
646,206,12,0.1,0.88,12,207,0.0,3,0
732,206,12,0.09,0.96,12,207,0.0444,293,13
786,206,12,0.16,0.93,12,207,0.0696,158,11
650,206,12,0.15,0.88,12,207,0.1765,17,3
743,206,12,0.15,0.94,12,207,0.1429,35,5
709,206,12,0.1,0.86,12,207,0.09519999999999999,21,2
724,206,12,0.11,0.9,12,207,0.1148,61,7
797,206,12,0.1,0.91,12,207,0.0291,447,13
752,206,12,0.15,0.86,12,207,0.0588,34,2
614,206,12,0.1,0.93,12,207,0.0,1,0
652,206,12,0.12,0.94,12,207,0.1714,70,12
719,206,12,0.16,0.92,12,207,0.16670000000000001,54,9
663,206,12,0.16,0.88,12,207,0.1818,11,2
652,206,12,0.16,0.91,12,207,0.1714,70,12
695,206,12,0.12,0.9,12,207,0.1333,15,2
696,206,12,0.12,0.9,12,207,0.10529999999999999,57,6
697,206,12,0.14,0.9,12,207,0.060599999999999994,99,6
724,206,12,0.09,0.91,12,207,0.1148,61,7
727,206,12,0.17,0.91,12,207,0.0294,68,2
743,206,12,0.18,0.88,12,207,0.1429,35,5
653,206,12,0.13,0.9,12,207,0.0,2,0
661,206,12,0.12,0.91,12,207,0.12119999999999999,33,4
789,206,12,0.11,0.9,12,207,0.0131,765,10
662,206,12,0.17,0.89,12,207,0.1818,11,2
782,206,12,0.17,0.93,12,207,0.08929999999999999,56,5
611,206,12,0.17,0.94,12,207,0.0,4,0
699,206,12,0.17,0.93,12,207,0.2143,14,3
790,206,12,0.13,0.87,12,207,0.0105,574,6
670,206,12,0.15,0.93,12,207,0.0588,17,1
669,206,12,0.12,0.95,12,207,0.0588,17,1
694,206,12,0.12,0.87,12,207,0.059500000000000004,84,5
783,206,12,0.16,0.9,12,207,0.08929999999999999,56,5
775,206,12,0.16,0.93,12,207,0.0077,130,1
735,206,12,0.12,0.93,12,207,0.028300000000000002,247,7
783,206,12,0.16,0.89,12,207,0.08929999999999999,56,5
701,206,12,0.1,0.96,12,207,0.10769999999999999,65,7
757,206,12,0.16,0.93,12,207,0.16670000000000001,6,1
752,206,12,0.1,0.86,12,207,0.0588,34,2
645,206,12,0.16,0.87,12,207,0.11109999999999999,9,1
754,206,12,0.15,0.87,12,207,0.2,25,5
784,206,12,0.18,0.87,12,207,0.0196,51,1
756,206,12,0.17,0.91,12,207,0.15789999999999998,38,6
660,206,12,0.11,0.87,12,207,0.16,25,4
691,206,12,0.13,0.87,12,207,0.06559999999999999,122,8
751,206,12,0.12,0.91,12,207,0.0588,34,2
638,206,12,0.09,0.93,12,207,0.4,5,2
775,206,12,0.1,0.94,12,207,0.0077,130,1
638,206,12,0.12,0.94,12,207,0.4,5,2
717,206,12,0.12,0.9,12,207,0.10529999999999999,19,2
631,206,12,0.16,0.94,12,207,0.11109999999999999,18,2
668,206,12,0.11,0.93,12,207,0.125,32,4
699,206,12,0.11,0.93,12,207,0.2143,14,3
752,206,12,0.17,0.9,12,207,0.0588,34,2
684,206,12,0.16,0.86,12,207,0.0273,183,5
690,206,12,0.15,0.91,12,207,0.21739999999999998,23,5
699,206,12,0.11,0.94,12,207,0.2143,14,3
709,206,12,0.16,0.88,12,207,0.09519999999999999,21,2
670,206,12,0.11,0.89,12,207,0.0588,17,1
751,206,12,0.18,0.9,12,207,0.0588,34,2
617,206,12,0.17,0.93,12,207,0.0,6,0
601,206,12,0.16,0.94,12,207,0.16670000000000001,18,3
666,206,12,0.11,0.88,12,207,0.0,18,0
748,206,12,0.11,0.86,12,207,0.0347,173,6
751,206,12,0.15,0.88,12,207,0.0588,34,2
796,206,12,0.11,0.88,12,207,0.0203,197,4
696,206,12,0.18,0.88,12,207,0.10529999999999999,57,6
759,206,12,0.16,0.94,12,207,0.0286,35,1
749,206,12,0.11,0.9,12,207,0.0192,104,2
632,206,12,0.11,0.9,12,207,0.0421,261,11
656,206,12,0.13,0.88,12,207,0.21739999999999998,46,10
650,206,12,0.1,0.94,12,207,0.1765,17,3
687,206,12,0.16,0.87,12,207,0.0398,201,8
776,206,12,0.16,0.88,12,207,0.0641,156,10
717,206,12,0.17,0.96,12,207,0.10529999999999999,19,2
772,206,12,0.17,0.9,12,207,0.0463,108,5
653,206,12,0.1,0.94,12,207,0.0,2,0
657,206,12,0.12,0.92,12,207,0.0408,98,4
751,206,12,0.09,0.93,12,207,0.0588,34,2
672,206,12,0.11,0.94,12,207,0.15789999999999998,19,3
797,206,12,0.12,0.89,12,207,0.0291,447,13
774,206,12,0.13,0.93,12,207,0.0784,153,12
675,206,12,0.17,0.95,12,207,0.0481,270,13
747,206,12,0.16,0.91,12,207,0.0183,438,8
608,206,12,0.16,0.93,12,207,0.0,0,0
745,206,12,0.12,0.86,12,207,0.0233,43,1
793,206,12,0.12,0.91,12,207,0.0066,607,4
787,206,12,0.17,0.93,12,207,0.0196,51,1
726,206,12,0.09,0.88,12,207,0.069,87,6
615,206,12,0.16,0.87,12,207,0.2727,11,3
716,206,12,0.14,0.94,12,207,0.125,80,10
752,206,12,0.15,0.88,12,207,0.0588,34,2
653,206,12,0.14,0.87,12,207,0.0,2,0
769,206,12,0.1,0.94,12,207,0.030299999999999997,198,6
652,206,12,0.16,0.94,12,207,0.1714,70,12
